ID	Family	Group	Color	New	Check	Information	Function	File	Status	Severity	Comment	Key
21	Defect	Numerical	Red	no	Integer division by zero	Impact: High	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		3162257245EB96A2529E7D2294CA4C19
18	Defect	Numerical	Red	no	Sign change integer conversion overflow	Impact: Medium	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		C6D4A4479C7D1A842893A3456E
19	Defect	Data flow	Red	no	Dead code	Impact: Low	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		B144A850225F863D225486
11	Defect	Good practice	Red	no	Unmodified variable not const-qualified	Impact: Low	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		CCAAE4A9D322498C252A44EB95A052BE397A45EBD0A74EA651B9
1	MISRA C:2012	14 Control statement expressions	Not Applicable	no	14.3 Controlling expressions shall not be invariant.	Category: Required	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		B1D429D42941400DD123064C192062D07133E6
2	MISRA C:2012	8 Declarations and definitions	Not Applicable	no	8.2 Function types shall be in prototype form with named parameters.	Category: Required	File Scope	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		89D429D42941400DD123064C192070B8912366
3	MISRA C:2012	8 Declarations and definitions	Not Applicable	no	8.4 A compatible declaration shall be visible when an object or function with external linkage is defined.	Category: Required	File Scope	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		C46A946A94A02086E89103268C10385CD0B9
4	MISRA C:2012	Dir 4 Code design	Not Applicable	no	Dir 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types.	Category: Advisory	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		A1D429D42941400DD123064C192088D0716346
5	MISRA C:2012	10 The essential type model	Not Applicable	no	10.4 Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category.	Category: Required	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		B1D429D42941400DD123064C192062C0714307
6	MISRA C:2012	17 Functions	Not Applicable	no	17.4 All exit paths from a function with non-void return type shall have an explicit return statement with an expression.	Category: Mandatory	main()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		130753A453A4050134478C183164808973C50D18
7	MISRA C:2012	8 Declarations and definitions	Not Applicable	no	8.2 Function types shall be in prototype form with named parameters.	Category: Required	File Scope	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		8943A952A95282801AA3460C983240E0712327
8	MISRA C:2012	10 The essential type model	Not Applicable	no	10.3 The value of an expression shall not be assigned to an object with a narrower essential type or of a different essential type category.	Category: Required	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		264CA649A6490A02688E193062C80113068B993164
9	MISRA C:2012	17 Functions	Not Applicable	no	17.3 A function shall not be declared implicitly.	Category: Mandatory	main()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		13E653A453A4050134478C183164808973C5CC19
10	MISRA C:2012	10 The essential type model	Not Applicable	no	10.3 The value of an expression shall not be assigned to an object with a narrower essential type or of a different essential type category.	Category: Required	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		83A952A95282801AA3460C983240C481E2664C1A
12	MISRA C:2012	Dir 4 Code design	Not Applicable	no	Dir 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types.	Category: Advisory	File Scope	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		89D429D42941400DD123064C192088D0716306
13	MISRA C:2012	Dir 4 Code design	Not Applicable	no	Dir 4.6 typedefs that indicate size and signedness should be used in place of the basic numerical types.	Category: Advisory	File Scope	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		138653A453A4050134478C183164802243C58D18
14	MISRA C:2012	10 The essential type model	Not Applicable	no	10.3 The value of an expression shall not be assigned to an object with a narrower essential type or of a different essential type category.	Category: Required	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		33A952A95282801AA3460C983240C481E2664C98
15	MISRA C:2012	17 Functions	Not Applicable	no	17.7 The value returned by a function having non-void return type shall be used.	Category: Required	main()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		26CDA649A6490A02688E193062C80113E68B9B316E
16	MISRA C:2012	8 Declarations and definitions	Not Applicable	no	8.7 Functions and objects should not be defined with external linkage if they are referenced in only one translation unit.	Category: Advisory	File Scope	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		C46A946A94A02086E89103268C10385CDCB9
17	MISRA C:2012	Dir 4 Code design	Not Applicable	no	Dir 4.1 Run-time failures shall be minimized.	Category: Required	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		B1D429D42941400DD123064C192088D07113E6
20	MISRA C:2012	Dir 4 Code design	Not Applicable	no	Dir 4.1 Run-time failures shall be minimized.	Category: Required	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		264CA649A6490A02688E193062C80144868B983164
22	MISRA C:2012	2 Unused code	Not Applicable	no	2.1 A project shall not contain unreachable code.	Category: Required	debugging_a_bug()	C:\DebugGit\DebugMethod\Debugging.c	Unreviewed	Unset		D86A946A94A02086E89103268C10325CC4B9
